allowEditableEmbedding	allowOutlines	allowPDFEmbedding	fontFamily	fontStyleName	fontStyleNameNative	fontType	name	fullName	fullNameNative	postscriptName
False	True	True	Avenir Next	Demi Bold Italic	Demi Bold Italic	k.TrueType	Avenir Next	Demi Bold Italic	Avenir Next Demi Bold Italic	Avenir Next Demi Bold Italic	
False	True	True	Avenir Next	Bold	Bold	k.TrueType	Avenir Next	Bold	Avenir Next Bold	Avenir Next Bold	
False	True	True	Avenir Next	Bold Italic	Bold Italic	k.TrueType	Avenir Next	Bold Italic	Avenir Next Bold Italic	Avenir Next Bold Italic	
False	True	True	Avenir Next	Heavy	Heavy	k.TrueType	Avenir Next	Heavy	Avenir Next Heavy	Avenir Next Heavy	
False	True	True	Avenir Next	Heavy Italic	Heavy Italic	k.TrueType	Avenir Next	Heavy Italic	Avenir Next Heavy Italic	Avenir Next Heavy Italic	
False	True	True	Avenir Next Condensed	Ultra Light	Ultra Light	k.TrueType	Avenir Next Condensed	Ultra Light	Avenir Next Condensed Ultra Light	Avenir Next Condensed Ultra Light	
False	True	True	Avenir Next Condensed	Ultra Light Italic	Ultra Light Italic	k.TrueType	Avenir Next Condensed	Ultra Light Italic	Avenir Next Condensed Ultra Light Italic	Avenir Next Condensed Ultra Light Italic	
False	True	True	Avenir Next Condensed	Regular	Regular	k.TrueType	Avenir Next Condensed	Regular	Avenir Next Condensed Regular	Avenir Next Condensed Regular	
False	True	True	Avenir Next Condensed	Italic	Italic	k.TrueType	Avenir Next Condensed	Italic	Avenir Next Condensed Italic	Avenir Next Condensed Italic	
False	True	True	Avenir Next Condensed	Medium	Medium	k.TrueType	Avenir Next Condensed	Medium	Avenir Next Condensed Medium	Avenir Next Condensed Medium	
False	True	True	Avenir Next Condensed	Medium Italic	Medium Italic	k.TrueType	Avenir Next Condensed	Medium Italic	Avenir Next Medium Condensed Italic	Avenir Next Medium Condensed Italic	
False	True	True	Avenir Next Condensed	Demi Bold	Demi Bold	k.TrueType	Avenir Next Condensed	Demi Bold	Avenir Next Condensed Demi Bold	Avenir Next Condensed Demi Bold	
False	True	True	Avenir Next Condensed	Demi Bold Italic	Demi Bold Italic	k.TrueType	Avenir Next Condensed	Demi Bold Italic	Avenir Next Condensed Demi Bold Italic	Avenir Next Condensed Demi Bold Italic	
False	True	True	Avenir Next Condensed	Bold	Bold	k.TrueType	Avenir Next Condensed	Bold	Avenir Next Condensed Bold	Avenir Next Condensed Bold	
False	True	True	Avenir Next Condensed	Bold Italic	Bold Italic	k.TrueType	Avenir Next Condensed	Bold Italic	Avenir Next Condensed Bold Italic	Avenir Next Condensed Bold Italic	
False	True	True	Avenir Next Condensed	Heavy	Heavy	k.TrueType	Avenir Next Condensed	Heavy	Avenir Next Condensed Heavy	Avenir Next Condensed Heavy	
False	True	True	Avenir Next Condensed	Heavy Italic	Heavy Italic	k.TrueType	Avenir Next Condensed	Heavy Italic	Avenir Next Condensed Heavy Italic	Avenir Next Condensed Heavy Italic	
False	True	False	Ayuthaya	Regular	Regular	k.TrueType	Ayuthaya	Regular	Ayuthaya	Ayuthaya	
True	True	True	Baskerville	Regular	Regular	k.TrueType	Baskerville	Regular	Baskerville	Baskerville	
True	True	True	Baskerville	Italic	Italic	k.TrueType	Baskerville	Italic	Baskerville Italic	Baskerville Italic	
True	True	True	Baskerville	SemiBold	SemiBold	k.TrueType	Baskerville	SemiBold	Baskerville SemiBold	Baskerville SemiBold	
True	True	True	Baskerville	SemiBold Italic	SemiBold Italic	k.TrueType	Baskerville	SemiBold Italic	Baskerville SemiBold Italic	Baskerville SemiBold Italic	
True	True	True	Baskerville	Bold	Bold	k.TrueType	Baskerville	Bold	Baskerville Bold	Baskerville Bold	
True	True	True	Baskerville	Bold Italic	Bold Italic	k.TrueType	Baskerville	Bold Italic	Baskerville Bold Italic	Baskerville Bold Italic	
True	True	True	Big Caslon	Medium	Medium	k.TrueType	Big Caslon	Medium	Big Caslon Medium	Big Caslon Medium	
True	True	True	Bodoni 72	Book	Book	k.TrueType	Bodoni 72	Book	Bodoni 72 Book	Bodoni 72 Book	
True	True	True	Bodoni 72	Book Italic	Book Italic	k.TrueType	Bodoni 72	Book Italic	Bodoni 72 Book Italic	Bodoni 72 Book Italic	
True	True	True	Bodoni 72	Bold	Bold	k.TrueType	Bodoni 72	Bold	Bodoni 72 Bold	Bodoni 72 Bold	
True	True	True	Bodoni 72 Oldstyle	Book	Book	k.TrueType	Bodoni 72 Oldstyle	Book	Bodoni 72 Oldstyle Book	Bodoni 72 Oldstyle Book	
True	True	True	Bodoni 72 Oldstyle	Book Italic	Book Italic	k.TrueType	Bodoni 72 Oldstyle	Book Italic	Bodoni 72 Oldstyle Book Italic	Bodoni 72 Oldstyle Book Italic	
True	True	True	Bodoni 72 Oldstyle	Bold	Bold	k.TrueType	Bodoni 72 Oldstyle	Bold	Bodoni 72 Oldstyle Bold	Bodoni 72 Oldstyle Bold	
True	True	True	Bodoni 72 Smallcaps	Book	Book	k.TrueType	Bodoni 72 Smallcaps	Book	Bodoni 72 Smallcaps Book	Bodoni 72 Smallcaps Book	
True	True	True	Bodoni Ornaments	Regular	Regular	k.TrueType	Bodoni Ornaments	Regular	Bodoni Ornaments	Bodoni Ornaments	
True	True	True	Bradley Hand	Bold	Bold	k.TrueType	Bradley Hand	Bold	Bradley Hand Bold	Bradley Hand Bold	
False	True	True	Brush Script MT	Italic	Italic	k.OpenType_TT	Brush Script MT	Italic	Brush Script MT Italic	Brush Script MT Italic	
True	True	True	Chalkboard	Regular	Regular	k.TrueType	Chalkboard	Regular	Chalkboard	Chalkboard	
True	True	True	Chalkboard	Bold	Bold	k.TrueType	Chalkboard	Bold	Chalkboard Bold	Chalkboard Bold	
True	True	True	Chalkboard SE	Light	Light	k.TrueType	Chalkboard SE	Light	Chalkboard SE Light	Chalkboard SE Light	
True	True	True	Chalkboard SE	Regular	Regular	k.TrueType	Chalkboard SE	Regular	Chalkboard SE Regular	Chalkboard SE Regular	
True	True	True	Chalkboard SE	Bold	Bold	k.TrueType	Chalkboard SE	Bold	Chalkboard SE Bold	Chalkboard SE Bold	
True	True	True	Chalkduster	Regular	Regular	k.TrueType	Chalkduster	Regular	Chalkduster	Chalkduster	
False	True	True	Charter	Roman	Roman	k.TrueType	Charter	Roman	Charter Roman	Charter Roman	
False	True	True	Charter	Italic	Italic	k.TrueType	Charter	Italic	Charter Italic	Charter Italic	
False	True	True	Charter	Bold	Bold	k.TrueType	Charter	Bold	Charter Bold	Charter Bold	
False	True	True	Charter	Bold Italic	Bold Italic	k.TrueType	Charter	Bold Italic	Charter BT Bold Italic	Charter BT Bold Italic	
False	True	True	Charter	Black	Black	k.TrueType	Charter	Black	Charter Black	Charter Black	
False	True	True	Charter	Black Italic	Black Italic	k.TrueType	Charter	Black Italic	Charter Black Italic	Charter Black Italic	
True	True	True	Cochin	Regular	Regular	k.TrueType	Cochin	Regular	Cochin	Cochin	
True	True	True	Cochin	Italic	Italic	k.TrueType	Cochin	Italic	Cochin Italic	Cochin Italic	
True	True	True	Cochin	Bold	Bold	k.TrueType	Cochin	Bold	Cochin Bold	Cochin Bold	
True	True	True	Cochin	Bold Italic	Bold Italic	k.TrueType	Cochin	Bold Italic	Cochin Bold Italic	Cochin Bold Italic	
True	True	True	Comic Sans MS	Regular	Regular	k.OpenType_TT	Comic Sans MS	Regular	Comic Sans MS	Comic Sans MS	
True	True	True	Comic Sans MS	Bold	Bold	k.OpenType_TT	Comic Sans MS	Bold	Comic Sans MS Bold	Comic Sans MS Bold	
True	True	True	Copperplate	Light	Light	k.TrueType	Copperplate	Light	Copperplate Light	Copperplate Light	
True	True	True	Copperplate	Regular	Regular	k.TrueType	Copperplate	Regular	Copperplate	Copperplate	
True	True	True	Copperplate	Bold	Bold	k.TrueType	Copperplate	Bold	Copperplate Bold	Copperplate Bold	
False	True	True	Courier	Regular	Regular	k.TrueType	Courier	Regular	Courier	Courier	
False	True	True	Courier	Oblique	Oblique	k.TrueType	Courier	Oblique	Courier Oblique	Courier Oblique	
False	True	True	Courier	Bold	Bold	k.TrueType	Courier	Bold	Courier Bold	Courier Bold	
False	True	True	Courier	Bold Oblique	Bold Oblique	k.TrueType	Courier	Bold Oblique	Courier Bold Oblique	Courier Bold Oblique	
True	True	True	Courier New	Regular	Regular	k.OpenType_TT	Courier New	Regular	Courier New	Courier New	
True	True	True	Courier New	Italic	Italic	k.OpenType_TT	Courier New	Italic	Courier New Italic	Courier New Italic	
True	True	True	Courier New	Bold	Bold	k.OpenType_TT	Courier New	Bold	Courier New Bold	Courier New Bold	
True	True	True	Courier New	Bold Italic	Bold Italic	k.OpenType_TT	Courier New	Bold Italic	Courier New Bold Italic	Courier New Bold Italic	
True	True	True	Didot	Regular	Regular	k.TrueType	Didot	Regular	Didot	Didot	
True	True	True	Didot	Italic	Italic	k.TrueType	Didot	Italic	Didot Italic	Didot Italic	
True	True	True	Didot	Bold	Bold	k.TrueType	Didot	Bold	Didot Bold	Didot Bold	
True	True	True	DIN	Bold	Bold	k.OpenType_CFF	DIN	Bold	DIN-Bold	DIN-Bold	
False	True	True	DIN Alternate	Bold	Bold	k.TrueType	DIN Alternate	Bold	DIN Alternate Bold	DIN Alternate Bold	
False	True	True	DIN Condensed	Bold	Bold	k.TrueType	DIN Condensed	Bold	DIN Condensed Bold	DIN Condensed Bold	
True	True	True	Euphemia UCAS	Regular	Regular	k.TrueType	Euphemia UCAS	Regular	Euphemia UCAS	Euphemia UCAS	
True	True	True	Euphemia UCAS	Italic	Italic	k.TrueType	Euphemia UCAS	Italic	Euphemia UCAS Italic	Euphemia UCAS Italic	
True	True	True	Euphemia UCAS	Bold	Bold	k.TrueType	Euphemia UCAS	Bold	Euphemia UCAS Bold	Euphemia UCAS Bold	
True	True	True	FontCodeITFH3_TR	Regular	Regular	k.TrueType	FontCodeITFH3_TR	Regular	FontCodeITFH3_TR	FontCodeITFH3_TR	
True	True	True	Frutiger 47 Light Condensed	Regular	Regular	k.OpenType_CFF	Frutiger 47 Light Condensed	Regular	Frutiger 47 Light Condensed	Frutiger 47 Light Condensed	
False	True	True	Futura	Condensed Medium	Condensed Medium	k.TrueType	Futura	Condensed Medium	Futura Condensed Medium	Futura Condensed Medium	
False	True	True	Futura	Condensed ExtraBold	Condensed ExtraBold	k.TrueType	Futura	Condensed ExtraBold	Futura Condensed ExtraBold	Futura Condensed ExtraBold	
False	True	True	Futura	Medium	Medium	k.TrueType	Futura	Medium	Futura Medium	Futura Medium	
False	True	True	Futura	Medium Italic	Medium Italic	k.TrueType	Futura	Medium Italic	Futura Medium Italic	Futura Medium Italic	
True	True	True	Futura	Bold	Bold	k.TrueType	Futura	Bold	Futura Bold	Futura Bold	
True	True	True	Galvji (TT)	Regular	Regular	k.TrueType	Galvji (TT)	Regular	Galvji	Galvji	
True	True	True	Galvji (TT)	Oblique	Oblique	k.TrueType	Galvji (TT)	Oblique	Galvji Oblique	Galvji Oblique	
True	True	True	Geneva	Regular	Regular	k.TrueType	Geneva	Regular	Geneva	Geneva	
True	True	True	Georgia	Regular	Regular	k.OpenType_TT	Georgia	Regular	Georgia	Georgia	
True	True	True	Georgia	Italic	Italic	k.OpenType_TT	Georgia	Italic	Georgia Italic	Georgia Italic	
True	True	True	Georgia	Bold	Bold	k.OpenType_TT	Georgia	Bold	Georgia Bold	Georgia Bold	
True	True	True	Georgia	Bold Italic	Bold Italic	k.OpenType_TT	Georgia	Bold Italic	Georgia Bold Italic	Georgia Bold Italic	
False	True	True	Gill Sans	Light	Light	k.TrueType	Gill Sans	Light	Gill Sans Light	Gill Sans Light	
False	True	True	Gill Sans	Light Italic	Light Italic	k.TrueType	Gill Sans	Light Italic	Gill Sans Light Italic	Gill Sans Light Italic	
False	True	True	Gill Sans	Regular	Regular	k.TrueType	Gill Sans	Regular	Gill Sans	Gill Sans	
False	True	True	Gill Sans	Italic	Italic	k.TrueType	Gill Sans	Italic	Gill Sans Italic	Gill Sans Italic	
False	True	True	Gill Sans	SemiBold	SemiBold	k.TrueType	Gill Sans	SemiBold	Gill Sans SemiBold	Gill Sans SemiBold	
False	True	True	Gill Sans	SemiBold Italic	SemiBold Italic	k.TrueType	Gill Sans	SemiBold Italic	Gill Sans SemiBold Italic	Gill Sans SemiBold Italic	
False	True	True	Gill Sans	Bold	Bold	k.TrueType	Gill Sans	Bold	Gill Sans Bold	Gill Sans Bold	
False	True	True	Gill Sans	Bold Italic	Bold Italic	k.TrueType	Gill Sans	Bold Italic	Gill Sans Bold Italic	Gill Sans Bold Italic	
False	True	True	Gill Sans	UltraBold	UltraBold	k.TrueType	Gill Sans	UltraBold	Gill Sans UltraBold	Gill Sans UltraBold	
True	True	True	Grantha Sangam MN	Regular	Regular	k.OpenType_CFF	Grantha Sangam MN	Regular	Grantha Sangam MN Regular	Grantha Sangam MN Regular	
True	True	True	Grantha Sangam MN	Bold	Bold	k.OpenType_CFF	Grantha Sangam MN	Bold	Grantha Sangam MN Bold	Grantha Sangam MN Bold	
False	True	True	Helvetica	Light	Light	k.TrueType	Helvetica	Light	Helvetica Light	Helvetica Light	
False	True	True	Helvetica	Light Oblique	Light Oblique	k.TrueType	Helvetica	Light Oblique	Helvetica Light Oblique	Helvetica Light Oblique	
True	True	True	Helvetica	Oblique	Oblique	k.TrueType	Helvetica	Oblique	Helvetica Oblique	Helvetica Oblique	
True	True	True	Helvetica	Bold	Bold	k.TrueType	Helvetica	Bold	Helvetica Bold	Helvetica Bold	
True	True	True	Helvetica	Bold Oblique	Bold Oblique	k.TrueType	Helvetica	Bold Oblique	Helvetica Bold Oblique	Helvetica Bold Oblique	
False	True	True	Helvetica LT Std	Light Condensed Oblique	Light Condensed Oblique	k.OpenType_CFF	Helvetica LT Std	Light Condensed Oblique	Helvetica LT Std Light Condensed Oblique	Helvetica LT Std Light Condensed Oblique	
False	True	True	Helvetica LT Std	Light Oblique	Light Oblique	k.OpenType_CFF	Helvetica LT Std	Light Oblique	Helvetica LT Std Light Oblique	Helvetica LT Std Light Oblique	
True	True	True	Helvetica Neue	Condensed Bold	Condensed Bold	k.TrueType	Helvetica Neue	Condensed Bold	Helvetica Neue Condensed Bold	Helvetica Neue Condensed Bold	
True	True	True	Helvetica Neue	Condensed Black	Condensed Black	k.TrueType	Helvetica Neue	Condensed Black	Helvetica Neue Condensed Black	Helvetica Neue Condensed Black	
True	True	True	Helvetica Neue	UltraLight	UltraLight	k.TrueType	Helvetica Neue	UltraLight	Helvetica Neue UltraLight	Helvetica Neue UltraLight	
True	True	True	Helvetica Neue	UltraLight Italic	UltraLight Italic	k.TrueType	Helvetica Neue	UltraLight Italic	Helvetica Neue UltraLight Italic	Helvetica Neue UltraLight Italic	
True	True	True	Helvetica Neue	Thin	Thin	k.TrueType	Helvetica Neue	Thin	Helvetica Neue Thin	Helvetica Neue Thin	
True	True	True	Helvetica Neue	Thin Italic	Thin Italic	k.TrueType	Helvetica Neue	Thin Italic	Helvetica Neue Thin Italic	Helvetica Neue Thin Italic	
True	True	True	Helvetica Neue	Light	Light	k.TrueType	Helvetica Neue	Light	Helvetica Neue Light	Helvetica Neue Light	
True	True	True	Helvetica Neue	Light Italic	Light Italic	k.TrueType	Helvetica Neue	Light Italic	Helvetica Neue Light Italic	Helvetica Neue Light Italic	
True	True	True	Helvetica Neue	Regular	Regular	k.TrueType	Helvetica Neue	Regular	Helvetica Neue	Helvetica Neue	
True	True	True	Helvetica Neue	Italic	Italic	k.TrueType	Helvetica Neue	Italic	Helvetica Neue Italic	Helvetica Neue Italic	
True	True	True	Helvetica Neue	Medium	Medium	k.TrueType	Helvetica Neue	Medium	Helvetica Neue Medium	Helvetica Neue Medium	
True	True	True	Helvetica Neue	Medium Italic	Medium Italic	k.TrueType	Helvetica Neue	Medium Italic	Helvetica Neue Medium Italic	Helvetica Neue Medium Italic	
True	True	True	Helvetica Neue	Bold	Bold	k.TrueType	Helvetica Neue	Bold	Helvetica Neue Bold	Helvetica Neue Bold	
True	True	True	Helvetica Neue	Bold Italic	Bold Italic	k.TrueType	Helvetica Neue	Bold Italic	Helvetica Neue Bold Italic	Helvetica Neue Bold Italic	
True	True	True	HelveticaNeue	Regular	Regular	k.TrueType	HelveticaNeue	Regular	HelveticaNeue Regular	HelveticaNeue Regular	
True	True	True	HelveticaNeue	Bold	Bold	k.TrueType	HelveticaNeue	Bold	HelveticaNeue Bold	HelveticaNeue Bold	
True	True	True	HelveticaNeue	Medium	Medium	k.TrueType	HelveticaNeue	Medium	HelveticaNeue Medium	HelveticaNeue Medium	
False	True	False	HelveticaNeue	Thin	Thin	k.TrueType	HelveticaNeue	Thin	HelveticaNeue Thin	HelveticaNeue Thin	
True	True	True	Herculanum	Regular	Regular	k.TrueType	Herculanum	Regular	Herculanum	Herculanum	
True	True	True	Hoefler Text	Ornaments	Ornaments	k.TrueType	Hoefler Text	Ornaments	Hoefler Text Ornaments	Hoefler Text Ornaments	
True	True	True	Hoefler Text	Regular	Regular	k.TrueType	Hoefler Text	Regular	Hoefler Text	Hoefler Text	
True	True	True	Hoefler Text	Italic	Italic	k.TrueType	Hoefler Text	Italic	Hoefler Text Italic	Hoefler Text Italic	
True	True	True	Hoefler Text	Black	Black	k.TrueType	Hoefler Text	Black	Hoefler Text Black	Hoefler Text Black	
True	True	True	Hoefler Text	Black Italic	Black Italic	k.TrueType	Hoefler Text	Black Italic	Hoefler Text Black Italic	Hoefler Text Black Italic	
True	True	True	Impact	Regular	Regular	k.OpenType_TT	Impact	Regular	Impact	Impact	
False	True	True	Iowan Old Style	Roman	Roman	k.TrueType	Iowan Old Style	Roman	Iowan Old Style Roman	Iowan Old Style Roman	
False	True	True	Iowan Old Style	Titling	Titling	k.TrueType	Iowan Old Style	Titling	Iowan Old Style Titling	Iowan Old Style Titling	
False	True	True	Iowan Old Style	Italic	Italic	k.TrueType	Iowan Old Style	Italic	Iowan Old Style Italic	Iowan Old Style Italic	
False	True	True	Iowan Old Style	Bold	Bold	k.TrueType	Iowan Old Style	Bold	Iowan Old Style Bold	Iowan Old Style Bold	
False	True	True	Iowan Old Style	Bold Italic	Bold Italic	k.TrueType	Iowan Old Style	Bold Italic	Iowan Old Style Bold Italic	Iowan Old Style Bold Italic	
False	True	True	Iowan Old Style	Black	Black	k.TrueType	Iowan Old Style	Black	Iowan Old Style Black	Iowan Old Style Black	
False	True	True	Iowan Old Style	Black Italic	Black Italic	k.TrueType	Iowan Old Style	Black Italic	Iowan Old Style Black Italic	Iowan Old Style Black Italic	
True	True	True	K's BarCodeFont Code39	Regular	Regular	k.TrueType	K's BarCodeFont Code39	Regular	K's BarCodeFont Code39	K's BarCodeFont Code39	
True	True	True	Kailasa	Bold	Bold	k.TrueType	Kailasa	Bold	Kailasa Bold	Kailasa Bold	
True	True	True	Kailasa	Regular	Regular	k.TrueType	Kailasa	Regular	Kailasa Regular	Kailasa Regular	
True	True	True	Kefa	Regular	Regular	k.TrueType	Kefa	Regular	Kefa Regular	Kefa Regular	
True	True	True	Kefa	Bold	Bold	k.TrueType	Kefa	Bold	Kefa Bold	Kefa Bold	
True	True	True	Kohinoor Bangla	Light	Light	k.OpenType_CFF	Kohinoor Bangla	Light	Kohinoor Bangla Light	Kohinoor Bangla Light	
True	True	True	Kohinoor Bangla	Regular	Regular	k.OpenType_CFF	Kohinoor Bangla	Regular	Kohinoor Bangla	Kohinoor Bangla	
True	True	True	Kohinoor Bangla	Medium	Medium	k.OpenType_CFF	Kohinoor Bangla	Medium	Kohinoor Bangla Medium	Kohinoor Bangla Medium	
True	True	True	Kohinoor Bangla	Semibold	Semibold	k.OpenType_CFF	Kohinoor Bangla	Semibold	Kohinoor Bangla Semibold	Kohinoor Bangla Semibold	
True	True	True	Kohinoor Bangla	Bold	Bold	k.OpenType_CFF	Kohinoor Bangla	Bold	Kohinoor Bangla Bold	Kohinoor Bangla Bold	
True	True	True	Kohinoor Devanagari	Light	Light	k.OpenType_CFF	Kohinoor Devanagari	Light	Kohinoor Devanagari Light	Kohinoor Devanagari Light	
True	True	True	Kohinoor Devanagari	Regular	Regular	k.OpenType_CFF	Kohinoor Devanagari	Regular	Kohinoor Devanagari Regular	Kohinoor Devanagari Regular	
True	True	True	Kohinoor Devanagari	Medium	Medium	k.OpenType_CFF	Kohinoor Devanagari	Medium	Kohinoor Devanagari Medium	Kohinoor Devanagari Medium	
True	True	True	Kohinoor Devanagari	Semibold	Semibold	k.OpenType_CFF	Kohinoor Devanagari	Semibold	Kohinoor Devanagari Semibold	Kohinoor Devanagari Semibold	
True	True	True	Kohinoor Devanagari	Bold	Bold	k.OpenType_CFF	Kohinoor Devanagari	Bold	Kohinoor Devanagari Bold	Kohinoor Devanagari Bold	
True	True	True	Kohinoor Telugu	Light	Light	k.OpenType_CFF	Kohinoor Telugu	Light	Kohinoor Telugu Light	Kohinoor Telugu Light	
True	True	True	Kohinoor Telugu	Regular	Regular	k.OpenType_CFF	Kohinoor Telugu	Regular	Kohinoor Telugu	Kohinoor Telugu	
True	True	True	Kohinoor Telugu	Medium	Medium	k.OpenType_CFF	Kohinoor Telugu	Medium	Kohinoor Telugu Medium	Kohinoor Telugu Medium	
True	True	True	Kohinoor Telugu	Semibold	Semibold	k.OpenType_CFF	Kohinoor Telugu	Semibold	Kohinoor Telugu Semibold	Kohinoor Telugu Semibold	
True	True	True	Kohinoor Telugu	Bold	Bold	k.OpenType_CFF	Kohinoor Telugu	Bold	Kohinoor Telugu Bold	Kohinoor Telugu Bold	
True	True	True	Kokonor	Regular	Regular	k.TrueType	Kokonor	Regular	Kokonor Regular	Kokonor Regular	
True	True	True	Krungthep	Regular	Regular	k.TrueType	Krungthep	Regular	Krungthep	Krungthep	
True	True	True	Letter Gothic Std	Medium	Medium	k.OpenType_CFF	Letter Gothic Std	Medium	Letter Gothic Std Medium	Letter Gothic Std Medium	
True	True	True	Letter Gothic Std	Slanted	Slanted	k.OpenType_CFF	Letter Gothic Std	Slanted	Letter Gothic Std Slanted	Letter Gothic Std Slanted	
True	True	True	Letter Gothic Std	Bold	Bold	k.OpenType_CFF	Letter Gothic Std	Bold	Letter Gothic Std Bold	Letter Gothic Std Bold	
True	True	True	Letter Gothic Std	Bold Slanted	Bold Slanted	k.OpenType_CFF	Letter Gothic Std	Bold Slanted	Letter Gothic Std Bold Slanted	Letter Gothic Std Bold Slanted	
False	True	True	Lucida Grande	Regular	Regular	k.TrueType	Lucida Grande	Regular	Lucida Grande	Lucida Grande	
False	True	True	Lucida Grande	Bold	Bold	k.TrueType	Lucida Grande	Bold	Lucida Grande Bold	Lucida Grande Bold	
True	True	True	Luminari	Regular	Regular	k.TrueType	Luminari	Regular	Luminari	Luminari	
False	True	True	Marion	Regular	Regular	k.TrueType	Marion	Regular	Marion Regular	Marion Regular	
False	True	True	Marion	Italic	Italic	k.TrueType	Marion	Italic	Marion Italic	Marion Italic	
False	True	True	Marion	Bold	Bold	k.TrueType	Marion	Bold	Marion Bold	Marion Bold	
True	True	True	Marker Felt	Thin	Thin	k.TrueType	Marker Felt	Thin	Marker Felt Thin	Marker Felt Thin	
True	True	True	Marker Felt	Wide	Wide	k.TrueType	Marker Felt	Wide	Marker Felt Wide	Marker Felt Wide	
True	True	True	Menlo	Regular	Regular	k.TrueType	Menlo	Regular	Menlo Regular	Menlo Regular	
True	True	True	Menlo	Italic	Italic	k.TrueType	Menlo	Italic	Menlo Italic	Menlo Italic	
True	True	True	Menlo	Bold	Bold	k.TrueType	Menlo	Bold	Menlo Bold	Menlo Bold	
True	True	True	Menlo	Bold Italic	Bold Italic	k.TrueType	Menlo	Bold Italic	Menlo Bold Italic	Menlo Bold Italic	
True	True	True	Microsoft Sans Serif	Regular	Regular	k.OpenType_TT	Microsoft Sans Serif	Regular	Microsoft Sans Serif	Microsoft Sans Serif	
True	True	True	Minion Pro	Regular	Regular	k.OpenType_CFF	Minion Pro	Regular	Minion Pro	Minion Pro	
True	True	True	Minion Variable Concept	Roman	Roman	k.TrueType	Minion Variable Concept	Roman	Minion Variable Concept	Minion Variable Concept	
True	True	True	Monaco	Regular	Regular	k.TrueType	Monaco	Regular	Monaco	Monaco	
True	True	True	Mshtakan	Regular	Regular	k.TrueType	Mshtakan	Regular	Mshtakan	Mshtakan	
True	True	True	Mshtakan	Oblique	Oblique	k.TrueType	Mshtakan	Oblique	Mshtakan Oblique	Mshtakan Oblique	
True	True	True	Mshtakan	Bold	Bold	k.TrueType	Mshtakan	Bold	Mshtakan Bold	Mshtakan Bold	
True	True	True	Mshtakan	BoldOblique	BoldOblique	k.TrueType	Mshtakan	BoldOblique	Mshtakan BoldOblique	Mshtakan BoldOblique	
True	True	True	Mukta Mahee	ExtraLight	ExtraLight	k.OpenType_TT	Mukta Mahee	ExtraLight	MuktaMahee ExtraLight	MuktaMahee ExtraLight	
True	True	True	Mukta Mahee	Light	Light	k.OpenType_TT	Mukta Mahee	Light	MuktaMahee Light	MuktaMahee Light	
True	True	True	Mukta Mahee	Regular	Regular	k.OpenType_TT	Mukta Mahee	Regular	MuktaMahee Regular	MuktaMahee Regular	
True	True	True	Mukta Mahee	Medium	Medium	k.OpenType_TT	Mukta Mahee	Medium	MuktaMahee Medium	MuktaMahee Medium	
True	True	True	Mukta Mahee	SemiBold	SemiBold	k.OpenType_TT	Mukta Mahee	SemiBold	MuktaMahee SemiBold	MuktaMahee SemiBold	
True	True	True	Mukta Mahee	Bold	Bold	k.OpenType_TT	Mukta Mahee	Bold	MuktaMahee Bold	MuktaMahee Bold	
True	True	True	Mukta Mahee	ExtraBold	ExtraBold	k.OpenType_TT	Mukta Mahee	ExtraBold	MuktaMahee ExtraBold	MuktaMahee ExtraBold	
True	True	True	Myriad Pro	Regular	Regular	k.OpenType_CFF	Myriad Pro	Regular	Myriad Pro	Myriad Pro	
True	True	True	Myriad Pro	Italic	Italic	k.OpenType_CFF	Myriad Pro	Italic	Myriad Pro Italic	Myriad Pro Italic	
True	True	True	Myriad Pro	Bold	Bold	k.OpenType_CFF	Myriad Pro	Bold	Myriad Pro Bold	Myriad Pro Bold	
True	True	True	Myriad Pro	Bold Italic	Bold Italic	k.OpenType_CFF	Myriad Pro	Bold Italic	Myriad Pro Bold Italic	Myriad Pro Bold Italic	
True	True	True	Nexa Rust Sans	Black	Black	k.OpenType_CFF	Nexa Rust Sans	Black	Nexa Rust Sans Black	Nexa Rust Sans Black	
True	True	True	Noteworthy	Light	Light	k.TrueType	Noteworthy	Light	Noteworthy Light	Noteworthy Light	
True	True	True	Noteworthy	Bold	Bold	k.TrueType	Noteworthy	Bold	Noteworthy Bold	Noteworthy Bold	
True	True	True	Noto Sans Adlam	Regular	Regular	k.TrueType	Noto Sans Adlam	Regular	Noto Sans Adlam Regular	Noto Sans Adlam Regular	
True	True	True	Noto Sans Armenian	Thin	Thin	k.TrueType	Noto Sans Armenian	Thin	Noto Sans Armenian Thin	Noto Sans Armenian Thin	
True	True	True	Noto Sans Armenian	ExtraLight	ExtraLight	k.TrueType	Noto Sans Armenian	ExtraLight	Noto Sans Armenian ExtraLight	Noto Sans Armenian ExtraLight	
True	True	True	Noto Sans Armenian	Light	Light	k.TrueType	Noto Sans Armenian	Light	Noto Sans Armenian Light	Noto Sans Armenian Light	
True	True	True	Noto Sans Armenian	Regular	Regular	k.TrueType	Noto Sans Armenian	Regular	Noto Sans Armenian Regular	Noto Sans Armenian Regular	
True	True	True	Noto Sans Armenian	Medium	Medium	k.TrueType	Noto Sans Armenian	Medium	Noto Sans Armenian Medium	Noto Sans Armenian Medium	
True	True	True	Noto Sans Armenian	SemiBold	SemiBold	k.TrueType	Noto Sans Armenian	SemiBold	Noto Sans Armenian SemiBold	Noto Sans Armenian SemiBold	
